TadID,Block,Clutch,AccGraph1,AccGraph2,AccTemp,AccInc,PerfTemp,PerfInc,InitialGosner,ExposureGosner,FinalGosner,InitialMass,ExposureMass,FinalMass,Cysts1,Cysts7,Cysts14,PropCleared1,PropCleared2,PropEncysted,LeftoverCerc,AdjPropEncysted
25A,E,B,13-19?C,13-16?C,16,Inc25,13,Inc30,28,27,27,227,223,209,8,6,3,0.25,0.5,0.4,7,0.4
27A,E,B,22-28?C,19-25?C,25,Inc27,13,Inc30,28,29,NA,235,393,NA,8,0,0,1,NA,0.4,5,0.4
34A,F,A,13-19?C,13-16?C,16,Inc34,13,Inc36,26,27,27,175,294,297,8,7,5,0.125,0.285714286,0.4,7,0.4
36A,F,C,13-19?C,13-16?C,13,Inc36,13,Inc36,27,26,26,131,169,178,8,5,0,0.375,1,0.4,2,0.4
03E,A,C,22-28?C,28?C,28,Inc3,25,Inc1,26,26,28,116,188,429,7,3,3,0.571428571,0,0.35,0,0.35
11D,B,A,13-19?C,13-16?C,16,Inc11,22,Inc12,26,26,26,107,133,155,7,0,0,1,NA,0.35,11,0.35
26A,E,A,13-19?C,19-25?C,19,Inc26,13,Inc30,25,26,26,109,147,136,7,1,0,0.857142857,1,0.35,0,0.35
29A,E,B,22-28?C,19-25?C,22,Inc29,13,Inc30,26,27,28,153,363,368,7,6,2,0.142857143,0.666666667,0.35,8,0.35
31A,F,A,22-28?C,19-25?C,25,Inc31,13,Inc36,26,27,NA,131,184,NA,7,0,0,1,NA,0.35,1,0.35
06A,A,B,13-19?C,13-16?C,16,Inc6,13,Inc2,26,27,NA,144,151,NA,6,NA,NA,NA,NA,0.3,0,0.3
